,n1,n2,score
859,6gAZriMqRfI0d4hse5o1Yg,D1OT9vuepvXJrn5VDgm4YA,4.479
860,6m4A_ciUZn1G302yx1YV1w,bPVPZeqMuYtU_yGCb4P-jg,15.729
861,6m4A_ciUZn1G302yx1YV1w,f3eve2cxUIzyanWnHdMtFQ,15.1
862,6m4A_ciUZn1G302yx1YV1w,qvXw3V4_9Pu4E7Qoi7-cKA,14.487
863,6m4A_ciUZn1G302yx1YV1w,EoLzj1yciIjEZS9ZEJe_kQ,14.165
864,6m4A_ciUZn1G302yx1YV1w,T_TX4Lx03Juo4pHF5cMYuA,14.012
865,6m4A_ciUZn1G302yx1YV1w,49Sy1N3MTnK6Eslh1tgZQQ,13.908
866,6m4A_ciUZn1G302yx1YV1w,wxdpQV7CZHn6_DFr-JGUgw,8.588
867,6m4A_ciUZn1G302yx1YV1w,yM7eA2uuH3Ch7OYVj3PKSw,7.146
868,6m4A_ciUZn1G302yx1YV1w,thlyktt2c7v1DyOpSVSibw,6.163
869,6m4A_ciUZn1G302yx1YV1w,bXrQejeR66IwebuhxPS7GA,5.534
870,6smGb7xv5fDbBsLgW1WC2w,vTXNVK73GOvVb3js4w8SLg,5.672
871,6smGb7xv5fDbBsLgW1WC2w,b2Za53CjptGyf9K0fFnrAg,5.552
872,6smGb7xv5fDbBsLgW1WC2w,TVX2a4bVuCE2VUIkiLdZrQ,4.914
873,6smGb7xv5fDbBsLgW1WC2w,8Vo6LN9gqULhXzoxj5k6kQ,4.766
874,6smGb7xv5fDbBsLgW1WC2w,hPzPpfSjgQkpWCD7YjcY-A,4.646
875,6smGb7xv5fDbBsLgW1WC2w,U2hkeMI-q4cS35QolJYN0A,4.589
876,6smGb7xv5fDbBsLgW1WC2w,6HTGlttrzCMsuGBHO1ZGiw,4.548
877,6smGb7xv5fDbBsLgW1WC2w,jR3sTUWCPuOCWpdm8Pn-wQ,4.533
878,6smGb7xv5fDbBsLgW1WC2w,oYireVavpwflbyWes2BsqQ,4.504
879,6smGb7xv5fDbBsLgW1WC2w,34Eqv8jXgxg_EEwcsNgeeg,4.481
880,6wPNzf-HzS-TDt6CjI_LSg,S8saWaZlToeNoloR2fMrAQ,11.025
881,6wPNzf-HzS-TDt6CjI_LSg,QBNATcq7Stx9LxcSq16W7w,9.678
882,6wPNzf-HzS-TDt6CjI_LSg,4dF9bWpFOKGiFmL3tFmvbQ,7.784
883,6wPNzf-HzS-TDt6CjI_LSg,bf32KWp9yvN-WT8c-QtbzA,7.519
884,6wPNzf-HzS-TDt6CjI_LSg,eL4lyE7LNoXEMvpcJ8WNVw,7.461
885,6wPNzf-HzS-TDt6CjI_LSg,iBTc6XKgW5HESEZIii-G4g,7.417
886,6wPNzf-HzS-TDt6CjI_LSg,kBqyg_L_Xn9jQTCHYODbRg,7.376
887,6wPNzf-HzS-TDt6CjI_LSg,1xsBRB203LiYLcC3mktfdA,7.29
888,6wPNzf-HzS-TDt6CjI_LSg,mxZMSFUamk7SIf5ndCLAxA,7.255
889,6wPNzf-HzS-TDt6CjI_LSg,-e8RwknT5szoLk9uBZjzcw,7.22
890,7IdIGemGZodDAA_9mJCigA,T2otvNcawDSkhykOG2tOLA,5.691
891,7IdIGemGZodDAA_9mJCigA,NIQWO-Q_F598XlAvZnFVCA,5.565
892,7IdIGemGZodDAA_9mJCigA,QFh-h_OZ5Io-mBk32HN28A,5.474
893,7IdIGemGZodDAA_9mJCigA,1Du1NruqJwxnzgEUHc42Jw,5.419
894,7IdIGemGZodDAA_9mJCigA,y4x_wAQvUxvTR8iV-JP4Jg,5.411
895,7IdIGemGZodDAA_9mJCigA,kbWKwvLXfJm5sLVfw-Foww,5.322
896,7IdIGemGZodDAA_9mJCigA,vZG0BDPGDJxMGiXcGoVU6w,5.209
897,7IdIGemGZodDAA_9mJCigA,EzhRlsTdACV60rOgrGYyqA,4.823
898,7IdIGemGZodDAA_9mJCigA,EZc2myE2mYk2h9JK9qu8gw,4.769
899,7IdIGemGZodDAA_9mJCigA,-FM4CxOg4XXmX_Ebky_SiQ,4.652
900,7UbXvL4SnVEDtx8oJbbuhw,k8Lm3Vn2202baslhmOK4FQ,4.353
901,7UbXvL4SnVEDtx8oJbbuhw,13UbOVDFdxloxaient5XWA,4.238
902,7UbXvL4SnVEDtx8oJbbuhw,y0zNj0TAgNeAkE-wNphWsg,4.179
903,7UbXvL4SnVEDtx8oJbbuhw,7kc2qp0PINf5qW8soYREYw,3.695
904,7UbXvL4SnVEDtx8oJbbuhw,WWoUVlbCdnNT_CQG3S0ZdQ,3.585
905,7UbXvL4SnVEDtx8oJbbuhw,Cd-hiDiuj7TFv8b_Nln5aA,3.506
906,7UbXvL4SnVEDtx8oJbbuhw,3Wy21heeDm8h2tSZfcj6OA,2.988
907,7UbXvL4SnVEDtx8oJbbuhw,GuzbBFraIq-fbkjfvaTRvg,2.903
908,7UbXvL4SnVEDtx8oJbbuhw,znlrxrY4InSx7ekPZxoHRw,2.862
909,7UbXvL4SnVEDtx8oJbbuhw,SYHDOHRNAH-2xsw3XB5qbg,2.777
910,7grEnJV48N6BxbEP3uxISA,qdpdUjdkEUpzYDdce2yZng,61.328
911,7grEnJV48N6BxbEP3uxISA,WVNkMz4sEl35swjVtKHOFw,5.213
912,7grEnJV48N6BxbEP3uxISA,L4-_gPiqsuX50JN_-qUhNQ,5.058
913,7grEnJV48N6BxbEP3uxISA,VAIOtbsxdNmuhUKkQZFRlA,4.698
914,7grEnJV48N6BxbEP3uxISA,1kVnChI4aqsPw9i2PVqkkw,4.663
915,7grEnJV48N6BxbEP3uxISA,hPzPpfSjgQkpWCD7YjcY-A,4.63
916,7grEnJV48N6BxbEP3uxISA,FH0MVF7kK0D76Hh4e7hXfQ,4.61
917,7grEnJV48N6BxbEP3uxISA,Ss6f5v_t5Vddiaz4ZOxL0g,4.594
918,7grEnJV48N6BxbEP3uxISA,0RxU5OglQyPVtLKC1LPgsA,4.569
919,7grEnJV48N6BxbEP3uxISA,UuRZpgZsHX7PyykHV3wbZg,4.513
920,7kLn2XsFwyJ-yFn4qx40TQ,Z4wmhciKWboy1FJKeqcw5w,391.569
921,7kLn2XsFwyJ-yFn4qx40TQ,z6I4QVP1M1HXETgwD92XHg,15.441
922,7kLn2XsFwyJ-yFn4qx40TQ,zZrDoiQIUmiVkifJx0h_KA,11.911
923,7kLn2XsFwyJ-yFn4qx40TQ,dutm97q2F4a6RV6YQ0uLHw,8.654
924,7kLn2XsFwyJ-yFn4qx40TQ,IZZ7J14VnJGyUqYH1tgT6w,6.509
925,7kLn2XsFwyJ-yFn4qx40TQ,3tvi-OJ_-iK1ecjzSaH-oA,6.415
926,7kLn2XsFwyJ-yFn4qx40TQ,hPzPpfSjgQkpWCD7YjcY-A,6.363
927,7kLn2XsFwyJ-yFn4qx40TQ,LuPK46HMxRYEVTXVbBCR1g,6.184
928,7kLn2XsFwyJ-yFn4qx40TQ,Ss6f5v_t5Vddiaz4ZOxL0g,6.087
929,7kLn2XsFwyJ-yFn4qx40TQ,UuRZpgZsHX7PyykHV3wbZg,5.978
930,7kc2qp0PINf5qW8soYREYw,Cd-hiDiuj7TFv8b_Nln5aA,9.478
931,7kc2qp0PINf5qW8soYREYw,WWoUVlbCdnNT_CQG3S0ZdQ,7.578
932,7kc2qp0PINf5qW8soYREYw,J2gkKCIOhmMTDIt0CKkXAg,6.635
933,7kc2qp0PINf5qW8soYREYw,GmOfZHgU9fm75f1nmVZnNA,5.399
934,7kc2qp0PINf5qW8soYREYw,3yI-WR2x322OvcGVUOSUjg,4.557
935,7kc2qp0PINf5qW8soYREYw,9mFXgiTMa-mdaqmxA41t6A,4.48
936,7kc2qp0PINf5qW8soYREYw,efySo0N7XEp4IeefjX8Muw,4.379
937,7kc2qp0PINf5qW8soYREYw,h4zjPjFmQgJQzYEXLcHenw,4.32
938,7kc2qp0PINf5qW8soYREYw,MAIfD4kJDCydgoD1l2b_vw,4.291
939,7kc2qp0PINf5qW8soYREYw,C-zgOpqD2K0xDJU4ty7zKg,4.291
940,7oPREWTlY8RIMfwT1R0YYw,sCJEbsv0KEsx_IifiFjGDQ,106.509
941,7oPREWTlY8RIMfwT1R0YYw,n6reYUBVF9buglcojgB0FQ,81.078
942,7oPREWTlY8RIMfwT1R0YYw,U3grYFIeu6RgAAQgdriHww,9.759
943,7oPREWTlY8RIMfwT1R0YYw,EZc2myE2mYk2h9JK9qu8gw,6.896
944,7oPREWTlY8RIMfwT1R0YYw,y4x_wAQvUxvTR8iV-JP4Jg,6.869
945,7oPREWTlY8RIMfwT1R0YYw,sor6oj-nuslOcSx7di4urA,6.773
946,7oPREWTlY8RIMfwT1R0YYw,7wcHZ80HLJVwUijAH_efJQ,6.254
947,7oPREWTlY8RIMfwT1R0YYw,-BdYhP-12elmFV7oB1iv4A,6.092
948,7oPREWTlY8RIMfwT1R0YYw,6EizP0XyqITuGZ8GZMI9Lw,6.06
949,7oPREWTlY8RIMfwT1R0YYw,tthy48ZIX_wfY8Dy0Dvg6w,5.885
950,7wSnkgOORRCqVDa_n8Upxg,gjCxTVItFxk46rCZ-YaiFA,4.65
951,7wSnkgOORRCqVDa_n8Upxg,QFh-h_OZ5Io-mBk32HN28A,4.519
952,7wSnkgOORRCqVDa_n8Upxg,04Ss49U_QKYLotcJMAH8cA,4.515
953,7wSnkgOORRCqVDa_n8Upxg,DOfiulOub9hVPBCtiDl9Fw,4.493
954,7wSnkgOORRCqVDa_n8Upxg,y4x_wAQvUxvTR8iV-JP4Jg,4.428
955,7wSnkgOORRCqVDa_n8Upxg,MJI-bNIn3QDgiGggm9Wp1w,4.173
956,7wSnkgOORRCqVDa_n8Upxg,7wcHZ80HLJVwUijAH_efJQ,4.087
957,7wSnkgOORRCqVDa_n8Upxg,Z0mBsgDzDnFAEC5o4X6G9g,4.057
958,7wSnkgOORRCqVDa_n8Upxg,fVUurZgbWXzp2QzDzJzmpA,3.862
959,7wSnkgOORRCqVDa_n8Upxg,yEmEDomLUofVtbZoUeFV5g,3.772
960,7wcHZ80HLJVwUijAH_efJQ,sCJEbsv0KEsx_IifiFjGDQ,6.728
961,7wcHZ80HLJVwUijAH_efJQ,y4x_wAQvUxvTR8iV-JP4Jg,6.555
962,7wcHZ80HLJVwUijAH_efJQ,U3grYFIeu6RgAAQgdriHww,6.554
963,7wcHZ80HLJVwUijAH_efJQ,7oPREWTlY8RIMfwT1R0YYw,6.156
964,7wcHZ80HLJVwUijAH_efJQ,sor6oj-nuslOcSx7di4urA,5.459
965,7wcHZ80HLJVwUijAH_efJQ,MJI-bNIn3QDgiGggm9Wp1w,5.296
966,7wcHZ80HLJVwUijAH_efJQ,n6reYUBVF9buglcojgB0FQ,5.218
967,7wcHZ80HLJVwUijAH_efJQ,2GiqDUNiTt5__ixRbzbqFw,4.63
968,7wcHZ80HLJVwUijAH_efJQ,7wSnkgOORRCqVDa_n8Upxg,4.431
969,7wcHZ80HLJVwUijAH_efJQ,c0p9TawJSQHchy5aL8NWgQ,4.422
970,8-ZExybRuyyXZf6aESgc3g,Nbht3URjeV94507do0goEw,31.185
971,8-ZExybRuyyXZf6aESgc3g,oyJdcjCTGEM2KiGqyJaFwA,7.766
972,8-ZExybRuyyXZf6aESgc3g,1pd4VYTww1UWDVai2r2RKg,7.64
973,8-ZExybRuyyXZf6aESgc3g,NIQWO-Q_F598XlAvZnFVCA,7.144
974,8-ZExybRuyyXZf6aESgc3g,-nwNPb3G-0L95igrhkvMtw,6.308
975,8-ZExybRuyyXZf6aESgc3g,XkveGZ8pr9TL5bZCqmzuhA,5.726
976,8-ZExybRuyyXZf6aESgc3g,TUtf4FLtotdQDleYpRIfnw,5.655
977,8-ZExybRuyyXZf6aESgc3g,FDTwPQ4CNWEOY0rfh4eTzQ,5.371
978,8-ZExybRuyyXZf6aESgc3g,fVUurZgbWXzp2QzDzJzmpA,5.097
979,8-ZExybRuyyXZf6aESgc3g,2bxZhBk8JZkJ1GqfTB0cUQ,4.683
980,8A5LSwsKK5vXDH1M3_Tf1w,Slg6Ec2D7vEBRmgVUfwkzQ,4.844
981,8A5LSwsKK5vXDH1M3_Tf1w,3Wy21heeDm8h2tSZfcj6OA,3.831
982,8A5LSwsKK5vXDH1M3_Tf1w,ctVn7wMvJX8f4Z9SnOnrHw,3.714
983,8A5LSwsKK5vXDH1M3_Tf1w,13UbOVDFdxloxaient5XWA,3.445
984,8A5LSwsKK5vXDH1M3_Tf1w,wMZAnrfwV-qHiV5zdTSrzw,3.276
985,8A5LSwsKK5vXDH1M3_Tf1w,vZG0BDPGDJxMGiXcGoVU6w,3.168
986,8A5LSwsKK5vXDH1M3_Tf1w,sxuv5uZU15UHGT_HB1xYxQ,3.037
987,8A5LSwsKK5vXDH1M3_Tf1w,pBPfWo_WfHVVkSKD_P3osg,2.909
988,8A5LSwsKK5vXDH1M3_Tf1w,N12Pwub9Tj-5AhuPfbj-Mg,2.899
989,8A5LSwsKK5vXDH1M3_Tf1w,XXsofYxziipczzc3OFDD5Q,2.749
990,8JzURExziDYuCrd7Ve9nDQ,23OxrUaCvvVrwSa1z3xG-w,3.772
991,8JzURExziDYuCrd7Ve9nDQ,hPzPpfSjgQkpWCD7YjcY-A,3.75
992,8JzURExziDYuCrd7Ve9nDQ,kbWKwvLXfJm5sLVfw-Foww,3.734
993,8JzURExziDYuCrd7Ve9nDQ,BErYojCJSO959vzaz9JclQ,3.725
994,8JzURExziDYuCrd7Ve9nDQ,Ss6f5v_t5Vddiaz4ZOxL0g,3.702
995,8JzURExziDYuCrd7Ve9nDQ,VgAKmXE8B7J0I_O_R13UKQ,3.638
996,8JzURExziDYuCrd7Ve9nDQ,54oLdsGU9B8HxFTqCCqV-A,3.629
997,8JzURExziDYuCrd7Ve9nDQ,izSgTrqebu8bN8ONOCs6cQ,3.624
998,8JzURExziDYuCrd7Ve9nDQ,XgehM3pBZWuXi45J2dqRJQ,3.624
999,8JzURExziDYuCrd7Ve9nDQ,VAIOtbsxdNmuhUKkQZFRlA,3.6
1000,8Lbz0hfE4MWzd7yDu9atBA,LtxG9DTXCFpteVkD4SGBlw,9.446
1001,8Lbz0hfE4MWzd7yDu9atBA,iBTc6XKgW5HESEZIii-G4g,8.963
1002,8Lbz0hfE4MWzd7yDu9atBA,alzPS7bo3yp3yystK62g2g,8.95
1003,8Lbz0hfE4MWzd7yDu9atBA,sZHLbLnw1vwHF1xDzuV1iw,8.771
1004,8Lbz0hfE4MWzd7yDu9atBA,6HTGlttrzCMsuGBHO1ZGiw,8.628
1005,8Lbz0hfE4MWzd7yDu9atBA,c-W17u2jiFOD2H_d6uo-bQ,8.573
1006,8Lbz0hfE4MWzd7yDu9atBA,QBNATcq7Stx9LxcSq16W7w,8.529
1007,8Lbz0hfE4MWzd7yDu9atBA,eL4lyE7LNoXEMvpcJ8WNVw,8.486
1008,8Lbz0hfE4MWzd7yDu9atBA,S8saWaZlToeNoloR2fMrAQ,8.448
1009,8Lbz0hfE4MWzd7yDu9atBA,kBqyg_L_Xn9jQTCHYODbRg,8.417
1010,8MoqZqlNN9AXzG91_Hpc_Q,8Vo6LN9gqULhXzoxj5k6kQ,8.593
1011,8MoqZqlNN9AXzG91_Hpc_Q,2l-spLLGUzRiZg8dF623Nw,6.34
1012,8MoqZqlNN9AXzG91_Hpc_Q,qVitsouI4aBiYx1_Fjn0Pg,6.249
1013,8MoqZqlNN9AXzG91_Hpc_Q,Vt5gk5h5VlHXLu-cVKzOXw,6.1
1014,8MoqZqlNN9AXzG91_Hpc_Q,EZc2myE2mYk2h9JK9qu8gw,5.906
1015,8MoqZqlNN9AXzG91_Hpc_Q,ycbmvmBYk4w_ZmdrPL0tBQ,5.84
1016,8MoqZqlNN9AXzG91_Hpc_Q,R93mEcQ1pjq7q3LzShi3ow,5.645
1017,8MoqZqlNN9AXzG91_Hpc_Q,4FdsX3MbkcdBRAr1aymF6A,5.447
1018,8MoqZqlNN9AXzG91_Hpc_Q,q-1ICFSqs2MwDGfe5tX-SQ,5.346
1019,8MoqZqlNN9AXzG91_Hpc_Q,-I7M6l0h46VdiN09Y1NUZw,5.228
1020,8RlO6NuhWzXktp-1croq5A,2cRTgUdOx7PNOQ6C0nnnug,18.355
1021,8RlO6NuhWzXktp-1croq5A,soaZ7_oU7xcphlw6gpWblg,12.63
1022,8RlO6NuhWzXktp-1croq5A,z64NmuzWMMmJty6gE_3nWQ,6.532
1023,8RlO6NuhWzXktp-1croq5A,IRyKDIF51M0GcqS8yfPcYA,4.656
1024,8RlO6NuhWzXktp-1croq5A,VrQUskWkEnvKyyz_OkJZEg,4.591
1025,8RlO6NuhWzXktp-1croq5A,GuzbBFraIq-fbkjfvaTRvg,4.163
1026,8RlO6NuhWzXktp-1croq5A,jZncFsMQdrq268OHq_Q6uw,3.977
1027,8RlO6NuhWzXktp-1croq5A,NmexnuLm3zyKxsgwbCe7ug,3.855
1028,8RlO6NuhWzXktp-1croq5A,bPVPZeqMuYtU_yGCb4P-jg,3.697
1029,8RlO6NuhWzXktp-1croq5A,u9oG6CVhS9dJR5ZHS5q23A,3.446
1030,8Vo6LN9gqULhXzoxj5k6kQ,3Wy21heeDm8h2tSZfcj6OA,9.851
1031,8Vo6LN9gqULhXzoxj5k6kQ,thlyktt2c7v1DyOpSVSibw,9.677
1032,8Vo6LN9gqULhXzoxj5k6kQ,kwtKZ3fzM5jlR8Z7KIA17g,9.47
1033,8Vo6LN9gqULhXzoxj5k6kQ,6EizP0XyqITuGZ8GZMI9Lw,8.879
1034,8Vo6LN9gqULhXzoxj5k6kQ,DOfiulOub9hVPBCtiDl9Fw,8.636
1035,8Vo6LN9gqULhXzoxj5k6kQ,QLHgjBHBoeIUoEvIPvjHnw,8.405
1036,8Vo6LN9gqULhXzoxj5k6kQ,-NXRuUsazxXZZ_OHwmtYtw,8.135
1037,8Vo6LN9gqULhXzoxj5k6kQ,8MoqZqlNN9AXzG91_Hpc_Q,8.129
1038,8Vo6LN9gqULhXzoxj5k6kQ,4FdsX3MbkcdBRAr1aymF6A,7.88
1039,8Vo6LN9gqULhXzoxj5k6kQ,oGDGlUbOjHxmmCh8ZYcDCg,7.833
1040,8_r9EZL6vX5fPBoVh3gUrA,uZYBF0YTU_iKq4_L_PDtMQ,5.465
1041,8_r9EZL6vX5fPBoVh3gUrA,AzZqXglv_puXwd4kCvM7ew,4.855
1042,8_r9EZL6vX5fPBoVh3gUrA,yPSejq3_erxo9zdVYTBnZA,4.196
1043,8_r9EZL6vX5fPBoVh3gUrA,9ugpNKKhnYRa51qXoxUw_A,3.927
1044,8_r9EZL6vX5fPBoVh3gUrA,wfjqxgLSsLtyzswzQBziSw,3.881
1045,8_r9EZL6vX5fPBoVh3gUrA,nYPzsOjvida-ne7swSPHpA,3.85
1046,8_r9EZL6vX5fPBoVh3gUrA,WVNkMz4sEl35swjVtKHOFw,3.845
1047,8_r9EZL6vX5fPBoVh3gUrA,m4kvY0viCwxqRtgOycnKVQ,3.806
1048,8_r9EZL6vX5fPBoVh3gUrA,6RBZfirnzE4NahJTn1UPNA,3.798
1049,8_r9EZL6vX5fPBoVh3gUrA,GtrY5U_M1ac3bYCk0DUeIg,3.719
1050,8ei40SEWTURN8ROo5mBiJg,13UbOVDFdxloxaient5XWA,7.457
1051,8ei40SEWTURN8ROo5mBiJg,kBqyg_L_Xn9jQTCHYODbRg,7.319
1052,8ei40SEWTURN8ROo5mBiJg,kSKyOrJELZz_AzGkvnf8MA,7.0
1053,8ei40SEWTURN8ROo5mBiJg,eL4lyE7LNoXEMvpcJ8WNVw,6.43
1054,8ei40SEWTURN8ROo5mBiJg,iBTc6XKgW5HESEZIii-G4g,6.4
1055,8ei40SEWTURN8ROo5mBiJg,Bo-GGwQNcLVwyKeYkbfAYg,5.867
1056,8ei40SEWTURN8ROo5mBiJg,ukfAtVvdBD41s-yJ6gOx3w,5.751
1057,8ei40SEWTURN8ROo5mBiJg,q2Ao2HQyhvcT9UG-5-ZGYg,5.488
1058,8ei40SEWTURN8ROo5mBiJg,T97hE3STgTgpwda75h6p1w,5.43
1059,8ei40SEWTURN8ROo5mBiJg,HOXbILWYZJkNUYYzYK_tZA,5.377
1060,8vMULlBjFJyS_836tOKnVQ,YnC3GioeL6aVCFD3ut2hYw,10.878
1061,8vMULlBjFJyS_836tOKnVQ,WrU1ZYN4jlYcL5mvJrQsCQ,5.65
1062,8vMULlBjFJyS_836tOKnVQ,edJoBsse6nsF0BYh6pATAg,5.612
1063,8vMULlBjFJyS_836tOKnVQ,nB0dV8yPv29F3-CFMPG8cw,5.428
1064,8vMULlBjFJyS_836tOKnVQ,Kthnb7PjDSd7FsBp4wqoHA,5.154
1065,8vMULlBjFJyS_836tOKnVQ,8Vo6LN9gqULhXzoxj5k6kQ,5.017
1066,8vMULlBjFJyS_836tOKnVQ,xotdeLae9P1mHAiJx4D0XQ,4.872
1067,8vMULlBjFJyS_836tOKnVQ,VUeRlNoPfxywzNxWHU2Tig,4.681
1068,8vMULlBjFJyS_836tOKnVQ,qVitsouI4aBiYx1_Fjn0Pg,4.631
1069,8vMULlBjFJyS_836tOKnVQ,Cd-hiDiuj7TFv8b_Nln5aA,4.483
1070,9JHhenxdM20EqmTQba6WyA,iaLaRfHUysXkKd1iNCTWbw,6.588
1071,9JHhenxdM20EqmTQba6WyA,mwsA08gpaEALG3C1ZI4ktw,5.663
1072,9JHhenxdM20EqmTQba6WyA,LtxG9DTXCFpteVkD4SGBlw,5.408
1073,9JHhenxdM20EqmTQba6WyA,PPcz-0UtIJ8O7xDT551y2g,5.202
1074,9JHhenxdM20EqmTQba6WyA,tzR6CHZNmnXzADX-SoM2sQ,5.027
1075,9JHhenxdM20EqmTQba6WyA,4dF9bWpFOKGiFmL3tFmvbQ,4.915
1076,9JHhenxdM20EqmTQba6WyA,QBNATcq7Stx9LxcSq16W7w,4.86
1077,9JHhenxdM20EqmTQba6WyA,pGtaxpSxxpmqPs6FAR1W_A,4.384
1078,9JHhenxdM20EqmTQba6WyA,QNilrbTi8912ye2ztnBMpA,4.257
1079,9JHhenxdM20EqmTQba6WyA,S8saWaZlToeNoloR2fMrAQ,4.24
1080,9L-MR0arflwFMF9szEBOOg,abr7RHb5adfBWscv5DyLeA,88.402
1081,9L-MR0arflwFMF9szEBOOg,RRGLss4hhvZZuR0N6GQlSw,5.672
1082,9L-MR0arflwFMF9szEBOOg,IljCDlZnTftfZEruqa4sRQ,5.276
1083,9L-MR0arflwFMF9szEBOOg,kwqXOtLCbNjgvwuMj4H1AQ,5.092
1084,9L-MR0arflwFMF9szEBOOg,lwbFhaGaKUtwPdaXXjy3mQ,5.069
1085,9L-MR0arflwFMF9szEBOOg,8Lbz0hfE4MWzd7yDu9atBA,4.56
1086,9L-MR0arflwFMF9szEBOOg,aYMpjij5ShtEoZueMrQPRw,4.538
1087,9L-MR0arflwFMF9szEBOOg,zVwnTKz7JIOoN-MbbQMzYA,4.493
1088,9L-MR0arflwFMF9szEBOOg,LtxG9DTXCFpteVkD4SGBlw,4.376
1089,9L-MR0arflwFMF9szEBOOg,ijU7hEUbD1Nq7KKbi4nyeQ,4.325
1090,9dYarThtZVX4PvmtnFIrxA,eL4lyE7LNoXEMvpcJ8WNVw,12.397
1091,9dYarThtZVX4PvmtnFIrxA,V2cQOeZwPBmjpln6_p1Ygw,11.717
1092,9dYarThtZVX4PvmtnFIrxA,2pBNVsJo3a3CPbInUu9lvQ,8.637
1093,9dYarThtZVX4PvmtnFIrxA,MJI-bNIn3QDgiGggm9Wp1w,3.284
1094,9dYarThtZVX4PvmtnFIrxA,zVwnTKz7JIOoN-MbbQMzYA,3.215
1095,9dYarThtZVX4PvmtnFIrxA,SZU9c8V2GuREDN5KgyHFJw,2.905
1096,9dYarThtZVX4PvmtnFIrxA,19Gx6T0v_GZW2je2J_mqOg,2.841
1097,9dYarThtZVX4PvmtnFIrxA,hPzPpfSjgQkpWCD7YjcY-A,2.673
1098,9dYarThtZVX4PvmtnFIrxA,bXrQejeR66IwebuhxPS7GA,2.642
1099,9dYarThtZVX4PvmtnFIrxA,34Eqv8jXgxg_EEwcsNgeeg,2.602
1100,9h0i4lVC5eCVhRTanWsEAg,ghLjxj4HoSHdflBEz2lIqA,4.716
1101,9h0i4lVC5eCVhRTanWsEAg,TzNk1TcWLZn0JCpO83hBAA,4.564
1102,9h0i4lVC5eCVhRTanWsEAg,3Wy21heeDm8h2tSZfcj6OA,3.955
1103,9h0i4lVC5eCVhRTanWsEAg,VAIOtbsxdNmuhUKkQZFRlA,3.914
1104,9h0i4lVC5eCVhRTanWsEAg,tthy48ZIX_wfY8Dy0Dvg6w,3.872
1105,9h0i4lVC5eCVhRTanWsEAg,7IdIGemGZodDAA_9mJCigA,3.849
1106,9h0i4lVC5eCVhRTanWsEAg,SYHDOHRNAH-2xsw3XB5qbg,3.789
1107,9h0i4lVC5eCVhRTanWsEAg,skY6r8WAkYqpV7_TxNm23w,3.782
1108,9h0i4lVC5eCVhRTanWsEAg,6EizP0XyqITuGZ8GZMI9Lw,3.779
1109,9h0i4lVC5eCVhRTanWsEAg,EZc2myE2mYk2h9JK9qu8gw,3.771
1110,9mFXgiTMa-mdaqmxA41t6A,qS7uSZdQ3f0HqYSSaiYQ3A,6.395
1111,9mFXgiTMa-mdaqmxA41t6A,BErYojCJSO959vzaz9JclQ,5.247
1112,9mFXgiTMa-mdaqmxA41t6A,8Vo6LN9gqULhXzoxj5k6kQ,5.015
1113,9mFXgiTMa-mdaqmxA41t6A,3Wy21heeDm8h2tSZfcj6OA,4.855
1114,9mFXgiTMa-mdaqmxA41t6A,6EizP0XyqITuGZ8GZMI9Lw,4.852
1115,9mFXgiTMa-mdaqmxA41t6A,thlyktt2c7v1DyOpSVSibw,4.833
1116,9mFXgiTMa-mdaqmxA41t6A,SZU9c8V2GuREDN5KgyHFJw,4.808
1117,9mFXgiTMa-mdaqmxA41t6A,S8saWaZlToeNoloR2fMrAQ,4.783
1118,9mFXgiTMa-mdaqmxA41t6A,IZZ7J14VnJGyUqYH1tgT6w,4.781
1119,9mFXgiTMa-mdaqmxA41t6A,QBNATcq7Stx9LxcSq16W7w,4.762
1120,9u79dIXLQzmt9rnOZEnBaQ,Vt5gk5h5VlHXLu-cVKzOXw,6.37
1121,9u79dIXLQzmt9rnOZEnBaQ,cCi63HyU5XtjCaCVw0qJCw,6.203
1122,9u79dIXLQzmt9rnOZEnBaQ,jLn69WQupjsDKrbPw_nlGQ,5.006
1123,9u79dIXLQzmt9rnOZEnBaQ,8MoqZqlNN9AXzG91_Hpc_Q,4.682
1124,9u79dIXLQzmt9rnOZEnBaQ,WrU1ZYN4jlYcL5mvJrQsCQ,4.517
1125,9u79dIXLQzmt9rnOZEnBaQ,8Vo6LN9gqULhXzoxj5k6kQ,4.485
1126,9u79dIXLQzmt9rnOZEnBaQ,edJoBsse6nsF0BYh6pATAg,4.184
1127,9u79dIXLQzmt9rnOZEnBaQ,NIQWO-Q_F598XlAvZnFVCA,4.176
1128,9u79dIXLQzmt9rnOZEnBaQ,lu2UpRHLBZfvLG_caNEHKQ,4.168
1129,9u79dIXLQzmt9rnOZEnBaQ,cAbdvzqtFLaAAMFIyPf2AA,4.157
1130,9ugpNKKhnYRa51qXoxUw_A,0tbscjPg4IzURekIn_CJ1Q,11.285
1131,9ugpNKKhnYRa51qXoxUw_A,VgAKmXE8B7J0I_O_R13UKQ,4.306
1132,9ugpNKKhnYRa51qXoxUw_A,nYPzsOjvida-ne7swSPHpA,4.257
1133,9ugpNKKhnYRa51qXoxUw_A,34Eqv8jXgxg_EEwcsNgeeg,4.256
1134,9ugpNKKhnYRa51qXoxUw_A,yPSejq3_erxo9zdVYTBnZA,4.162
